selection_index,timestamp,axis,axis_bus,signed_direction,status,transition_scale_kw,coarse_delta_kw,coarse_extent_kw,no_reentry_statement,official_boundary_p_pcc_kw,binding_mechanism,binding_bus,safe_coordinate,safe_p13_abs_kw,safe_p30_abs_kw,safe_vmin_pu,safe_vmin_bus,safe_vmax_pu,safe_vmax_bus,safe_solver_status,violating_coordinate,violating_p13_abs_kw,violating_p30_abs_kw,violating_vmin_pu,violating_vmin_bus,violating_vmax_pu,violating_vmax_bus,violating_solver_status,doubling_point_count,sweep_point_count,refinement_steps,unresolved_point_count,bracket_width_kw
3,2011-02-06 00:00:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2923.75,BINDING_VMAX,30,2923.75,0,2923.75,0.995367202909,25,1.04999705954,30,CONVERGED_FEASIBLE,2924.0625,0,2924.0625,0.99536817374,25,1.05000546819,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
3,2011-02-06 00:00:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1666.5625,BINDING_VMIN,33,1666.5625,0,-1666.5625,0.900006591781,33,1,1,CONVERGED_FEASIBLE,1666.875,0,-1666.875,0.899994266463,33,1,1,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
4,2010-12-21 11:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1513.28125,BINDING_VMAX,13,1513.28125,1513.28125,0,0.99927627384,22,1.0499940845,13,CONVERGED_FEASIBLE,1513.4375,1513.4375,0,0.99927635164,22,1.05000020686,13,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
4,2010-12-21 11:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1655.3125,BINDING_VMIN,18,1655.3125,-1655.3125,0,0.90000057266,18,1,1,CONVERGED_FEASIBLE,1655.46875,-1655.46875,0,0.899991538714,18,1,1,CONVERGED_INFEASIBLE,6,41,10,10,0.15625
4,2010-12-21 11:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2157.1875,BINDING_VMAX,30,2157.1875,0,2157.1875,0.99962214851,22,1.04999770874,30,CONVERGED_FEASIBLE,2157.5,0,2157.5,0.999622303784,22,1.05000627437,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
4,2010-12-21 11:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2384.53125,BINDING_VMIN,33,2384.53125,0,-2384.53125,0.900004252599,33,1,1,CONVERGED_FEASIBLE,2384.6875,0,-2384.6875,0.899997931695,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
5,2011-02-05 11:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2547.8125,BINDING_VMAX,13,2547.8125,2547.8125,0,0.971170915136,33,1.04999024615,13,CONVERGED_FEASIBLE,2548.125,2548.125,0,0.971174491737,33,1.05000206127,13,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
5,2011-02-05 11:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,800,40,1600,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-662.03125,BINDING_VMIN,18,662.03125,-662.03125,0,0.900002599374,18,1,1,CONVERGED_FEASIBLE,662.1875,-662.1875,0,0.89999401167,18,1,1,CONVERGED_INFEASIBLE,4,41,8,0,0.15625
5,2011-02-05 11:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,6400,320,12800,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,3615.3125,BINDING_VMAX,30,3615.3125,0,3615.3125,0.982405570982,18,1.04999364279,30,CONVERGED_FEASIBLE,3615.625,0,3615.625,0.98240914195,18,1.05000191294,30,CONVERGED_INFEASIBLE,7,41,10,0,0.3125
5,2011-02-05 11:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1018.4375,BINDING_VMIN,33,1018.4375,0,-1018.4375,0.900008563769,33,1,1,CONVERGED_FEASIBLE,1018.75,0,-1018.75,0.899996509863,33,1,1,CONVERGED_INFEASIBLE,5,41,8,0,0.3125
6,2010-12-21 12:00:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1522.34375,BINDING_VMAX,13,1522.34375,1522.34375,0,0.999238391572,22,1.04999497632,13,CONVERGED_FEASIBLE,1522.5,1522.5,0,0.999238469348,22,1.05000109676,13,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
6,2010-12-21 12:00:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1646.5625,BINDING_VMIN,18,1646.5625,-1646.5625,0,0.900004940887,18,1,1,CONVERGED_FEASIBLE,1646.71875,-1646.71875,0,0.899995911155,18,1,1,CONVERGED_INFEASIBLE,6,41,10,10,0.15625
6,2010-12-21 12:00:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2170,BINDING_VMAX,30,2170,0,2170,0.999586267085,22,1.04999966779,30,CONVERGED_FEASIBLE,2170.3125,0,2170.3125,0.999586422301,22,1.05000823074,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
6,2010-12-21 12:00:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2372.5,BINDING_VMIN,33,2372.5,0,-2372.5,0.9000084168,33,1,1,CONVERGED_FEASIBLE,2372.8125,0,-2372.8125,0.899995780434,33,1,1,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
7,2011-02-05 17:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2928.75,BINDING_VMAX,13,2928.75,2928.75,0,0.95876453142,33,1.04999111045,13,CONVERGED_FEASIBLE,2929.0625,2929.0625,0,0.958768086143,33,1.05000277082,13,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
7,2011-02-05 17:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,400,20,800,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-296.25,BINDING_VMIN,18,296.25,-296.25,0,0.900002757616,18,1,1,CONVERGED_FEASIBLE,296.40625,-296.40625,0,0.899994323554,18,1,1,CONVERGED_INFEASIBLE,3,41,7,0,0.15625
7,2011-02-05 17:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,6400,320,12800,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,4151.875,BINDING_VMAX,30,4151.875,0,4151.875,0.971405689349,18,1.04999112835,30,CONVERGED_FEASIBLE,4152.5,0,4152.5,0.971412778263,18,1.05000745732,30,CONVERGED_INFEASIBLE,7,41,9,0,0.625
7,2011-02-05 17:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,800,40,1600,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-515.625,BINDING_VMIN,33,515.625,0,-515.625,0.900003827287,33,1,1,CONVERGED_FEASIBLE,515.9375,0,-515.9375,0.899991975128,33,1,1,CONVERGED_INFEASIBLE,4,41,7,0,0.3125
8,2011-01-21 18:00:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1865.625,BINDING_VMAX,13,1865.625,1865.625,0,0.993241700586,33,1.0499992527,13,CONVERGED_FEASIBLE,1865.78125,1865.78125,0,0.993243509238,33,1.05000530105,13,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
8,2011-01-21 18:00:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1317.1875,BINDING_VMIN,18,1317.1875,-1317.1875,0,0.900005568328,18,1,1,CONVERGED_FEASIBLE,1317.34375,-1317.34375,0,0.899996691423,18,1,1,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
8,2011-01-21 18:00:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2653.4375,BINDING_VMAX,30,2653.4375,0,2653.4375,0.997662421757,25,1.04999236356,30,CONVERGED_FEASIBLE,2653.75,0,2653.75,0.997663399044,25,1.05000082719,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
8,2011-01-21 18:00:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1919.6875,BINDING_VMIN,33,1919.6875,0,-1919.6875,0.900002978536,33,1,1,CONVERGED_FEASIBLE,1920,0,-1920,0.899990543513,33,1,1,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
9,2011-02-05 18:00:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2979.53125,BINDING_VMAX,13,2979.53125,2979.53125,0,0.957109826715,33,1.04999461944,13,CONVERGED_FEASIBLE,2979.6875,2979.6875,0,0.957111602642,33,1.05000043939,13,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
9,2011-02-05 18:00:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,400,20,800,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-247.5,BINDING_VMIN,18,247.5,-247.5,0,0.900006961967,18,1,1,CONVERGED_FEASIBLE,247.8125,-247.8125,0,0.899990133935,18,1,1,CONVERGED_INFEASIBLE,3,41,6,0,0.3125
9,2011-02-05 18:00:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,6400,320,12800,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,4223.4375,BINDING_VMAX,30,4223.4375,0,4223.4375,0.96994156882,18,1.04999560115,30,CONVERGED_FEASIBLE,4223.75,0,4223.75,0.969945109805,18,1.0500037517,30,CONVERGED_INFEASIBLE,7,41,10,0,0.3125
9,2011-02-05 18:00:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,800,40,1600,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-448.75,BINDING_VMIN,33,448.75,0,-448.75,0.900002531505,33,1,1,CONVERGED_FEASIBLE,449.0625,0,-449.0625,0.899990705623,33,1,1,CONVERGED_INFEASIBLE,4,41,7,0,0.3125
10,2013-04-17 05:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1410.3125,BINDING_VMAX,13,1410.3125,1410.3125,0,0.999708909299,22,1.04999654049,13,CONVERGED_FEASIBLE,1410.625,1410.625,0,0.99970906543,22,1.05000882865,13,CONVERGED_INFEASIBLE,5,41,8,0,0.3125
10,2013-04-17 05:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1754.0625,BINDING_VMIN,18,1754.0625,-1754.0625,0,0.900007015925,18,1,1,CONVERGED_FEASIBLE,1754.21875,-1754.21875,0,0.899997935212,18,1,1,CONVERGED_INFEASIBLE,6,41,10,10,0.15625
10,2013-04-17 05:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2011.875,BINDING_VMAX,30,2011.875,0,2011.875,1,1,1.04999496848,30,CONVERGED_FEASIBLE,2012.1875,0,2012.1875,1,1,1.05000356434,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
10,2013-04-17 05:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2520.46875,BINDING_VMIN,33,2520.46875,0,-2520.46875,0.900004345491,33,1,1,CONVERGED_FEASIBLE,2520.625,0,-2520.625,0.899997993613,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
11,2013-04-07 02:00:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1650.3125,BINDING_VMAX,13,1650.3125,1650.3125,0,0.997852641418,25,1.04999218211,13,CONVERGED_FEASIBLE,1650.625,1650.625,0,0.997853628318,25,1.05000436904,13,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
11,2013-04-07 02:00:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1523.75,BINDING_VMIN,18,1523.75,-1523.75,0,0.900001313236,18,1,1,CONVERGED_FEASIBLE,1523.90625,-1523.90625,0,0.899992341026,18,1,1,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
11,2013-04-07 02:00:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2350.3125,BINDING_VMAX,30,2350.3125,0,2350.3125,0.999078528808,22,1.04999534501,30,CONVERGED_FEASIBLE,2350.625,0,2350.625,0.999078683222,22,1.05000387077,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
11,2013-04-07 02:00:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2203.59375,BINDING_VMIN,33,2203.59375,0,-2203.59375,0.900005702164,33,1,1,CONVERGED_FEASIBLE,2203.75,0,-2203.75,0.899999421997,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
12,2011-03-08 11:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1509.6875,BINDING_VMAX,13,1509.6875,1509.6875,0,0.999292004617,22,1.04999962634,13,CONVERGED_FEASIBLE,1509.84375,1509.84375,0,0.999292082426,22,1.05000574941,13,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
12,2011-03-08 11:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1658.75,BINDING_VMIN,18,1658.75,-1658.75,0,0.900009055308,18,1,1,CONVERGED_FEASIBLE,1659.0625,-1659.0625,0,0.899990984243,18,1,1,CONVERGED_INFEASIBLE,6,41,9,10,0.3125
12,2011-03-08 11:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2151.875,BINDING_VMAX,30,2151.875,0,2151.875,0.999636968236,22,1.04999639277,30,CONVERGED_FEASIBLE,2152.1875,0,2152.1875,0.999637123534,22,1.05000495952,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
12,2011-03-08 11:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2389.375,BINDING_VMIN,33,2389.375,0,-2389.375,0.900007687159,33,1,1,CONVERGED_FEASIBLE,2389.6875,0,-2389.6875,0.899995043127,33,1,1,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
13,2011-05-16 07:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1894.0625,BINDING_VMAX,13,1894.0625,1894.0625,0,0.992324440626,33,1.04999777999,13,CONVERGED_FEASIBLE,1894.375,1894.375,0,0.992328056173,33,1.05000986477,13,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
13,2011-05-16 07:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1289.84375,BINDING_VMIN,18,1289.84375,-1289.84375,0,0.900006090465,18,1,1,CONVERGED_FEASIBLE,1290,-1290,0,0.899997226025,18,1,1,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
13,2011-05-16 07:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2693.75,BINDING_VMAX,30,2693.75,0,2693.75,0.997321445861,25,1.04999709141,30,CONVERGED_FEASIBLE,2694.0625,0,2694.0625,0.997322422177,25,1.05000554677,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
13,2011-05-16 07:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1882.03125,BINDING_VMIN,33,1882.03125,0,-1882.03125,0.90000547919,33,1,1,CONVERGED_FEASIBLE,1882.1875,0,-1882.1875,0.899999269988,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
14,2011-03-08 12:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,1537.8125,BINDING_VMAX,13,1537.8125,1537.8125,0,0.999174144885,22,1.04999976499,13,CONVERGED_FEASIBLE,1537.96875,1537.96875,0,0.999174222621,22,1.05000588212,13,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
14,2011-03-08 12:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-1631.875,BINDING_VMIN,18,1631.875,-1631.875,0,0.90000268914,18,1,1,CONVERGED_FEASIBLE,1632.03125,-1632.03125,0,0.899993666291,18,1,1,CONVERGED_INFEASIBLE,6,41,10,10,0.15625
14,2011-03-08 12:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2191.5625,BINDING_VMAX,30,2191.5625,0,2191.5625,0.99952528149,22,1.04999781663,30,CONVERGED_FEASIBLE,2191.875,0,2191.875,0.99952543661,22,1.05000637514,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
14,2011-03-08 12:30:00,P30_NEGATIVE,30,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-2352.34375,BINDING_VMIN,33,2352.34375,0,-2352.34375,0.900004601115,33,1,1,CONVERGED_FEASIBLE,2352.5,0,-2352.5,0.899998287502,33,1,1,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
15,2011-05-11 17:30:00,P13_POSITIVE,13,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,2237.1875,BINDING_VMAX,13,2237.1875,2237.1875,0,0.981251906044,33,1.04999981491,13,CONVERGED_FEASIBLE,2237.34375,2237.34375,0,0.98125370347,33,1.05000578618,13,CONVERGED_INFEASIBLE,6,41,10,0,0.15625
15,2011-05-11 17:30:00,P13_NEGATIVE,13,NEGATIVE,AXIS_CERTIFIED_BOUNDARY,1600,80,3200,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,-960.46875,BINDING_VMIN,18,960.46875,-960.46875,0,0.900006461248,18,1,1,CONVERGED_FEASIBLE,960.625,-960.625,0,0.899997744179,18,1,1,CONVERGED_INFEASIBLE,5,41,9,0,0.15625
15,2011-05-11 17:30:00,P30_POSITIVE,30,POSITIVE,AXIS_CERTIFIED_BOUNDARY,3200,160,6400,NO_RE_ENTRY_DETECTED_AT_SWEEP_RESOLUTION_DELTA,3177.1875,BINDING_VMAX,30,3177.1875,0,3177.1875,0.991356719926,18,1.04999362274,30,CONVERGED_FEASIBLE,3177.5,0,3177.5,0.991360313097,18,1.05000198032,30,CONVERGED_INFEASIBLE,6,41,9,0,0.3125
