selection_index,timestamp,center_tier,center_source,contractions,p13_abs_kw,p30_abs_kw,solver_status,vmin_pu,vmin_bus,vmax_pu,vmax_bus,logical_evaluation_id,s0_evidence_sha256
11,2013-04-07 02:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,63.28125,73.359375,CONVERGED_FEASIBLE,0.982153131685,18,1,1,225,26f1759f8915b493001091e4c5834ee05c5059108f015b68db474ec092500ebd
12,2011-03-08 11:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-74.53125,-118.75,CONVERGED_FEASIBLE,0.979820745674,18,1,1,224,2e09a372da78ac0b9e48cc938fec7f9a3525b9cba865d2fd6204a53e3a7f296a
13,2011-05-16 07:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,302.109375,405.859375,CONVERGED_FEASIBLE,0.985221782008,33,1,1,225,d7d53ffc844ea385f2cc7c28ac85d91f2f779839d8ea850b65d9ea1a7b4489be
14,2011-03-08 12:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-47.03125,-80.390625,CONVERGED_FEASIBLE,0.98028697532,18,1,1,226,9e5c13025d02c45236b833fc474e33bb0fabc2b2743ba4ed07c0619bd8b64c45
15,2011-05-11 17:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,638.359375,874.0625,CONVERGED_FEASIBLE,0.987849352131,25,1,1,223,0bf63e84fe229a9b8259179d31fe08d4403c4edc95d438615355ad0e1741e9b6
16,2011-03-04 18:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,140.703125,181.09375,CONVERGED_FEASIBLE,0.983271892894,33,1,1,224,ded30f2c8759a2b92f1016439b8ab027a7862e9692825c2e73c51b397362cf56
17,2011-05-11 18:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,649.453125,889.765625,CONVERGED_FEASIBLE,0.987755413546,25,1,1,223,3094e4e83f81e1d1b801365c5d6110ee22298e605c1e6655cfb98e1dc4da83fe
18,2012-08-04 03:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-133.046875,-200.15625,CONVERGED_FEASIBLE,0.978821002477,18,1,1,225,2330d88f6df84e6d9abaa4e67cc4733f50aea514122ba0052fe39b8685994ee5
19,2010-07-03 00:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,59.6875,68.28125,CONVERGED_FEASIBLE,0.982092916814,18,1,1,223,318d2d8eefa538816396de40150d2166b19e79e11e6203e24b8aea4763ea483a
20,2012-08-31 11:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-91.40625,-142.109375,CONVERGED_FEASIBLE,0.979529547727,18,1,1,225,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
21,2010-07-01 07:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,452.1875,614.6875,CONVERGED_FEASIBLE,0.987014533505,33,1,1,224,4c08e5dc1ab8c404bf3758fbc8f6c2e420069a55e046bc0e1bb1a213108bc2e8
22,2012-08-24 12:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-75.15625,-119.6875,CONVERGED_FEASIBLE,0.979806419198,18,1,1,226,1874a95b974a981bdd6c2b5390ad950c655d418ee60c4f1e39a6725515e828b1
23,2010-07-02 17:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,889.53125,1223.90625,CONVERGED_FEASIBLE,0.985757143633,25,1.00101283674,13,222,9e45c1e48e284be6517a7a39b1f7fa173be4d9ee6d7df76a80ef16e3558c4804
24,2012-08-05 23:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-25.703125,-50.625,CONVERGED_FEASIBLE,0.980645917888,18,1,1,225,35a98a284b22e1bfad96701afae8627e074f45c2f2b5f6b4c754de241e23a0ed
25,2010-07-02 18:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,825.234375,1134.53125,CONVERGED_FEASIBLE,0.98629194817,25,1,1,222,97def85ee150675131fa62a3109cb8d6533cb4f6e75a9f2ef4f4b3e44db3d4b9
26,2011-09-30 05:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-103.28125,-158.75,CONVERGED_FEASIBLE,0.9793255397,18,1,1,225,118c91e549f32a04f47918342df09dc877809a6fc0e8f27ada36d96d358b1ac2
27,2011-09-11 00:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-21.25,-44.609375,CONVERGED_FEASIBLE,0.980723979471,18,1,1,226,20b0b1c6e06cad87d7c92d272dcf4df95ca8e61387acf44d2910e22d5bc15f63
28,2011-09-30 11:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,-35.3125,-64.0625,CONVERGED_FEASIBLE,0.980486561652,18,1,1,224,2408141a760ae7d6ccc180f95fa6bcfbccd737d58638a3a8a55abd821328e435
29,2012-09-03 07:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,216.953125,287.265625,CONVERGED_FEASIBLE,0.984193436947,33,1,1,225,e08ad63f80319c4f95d48d64e89c5be4c8eb28e1cc1c36215126d2fc62122f22
30,2011-11-14 17:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,640.859375,877.65625,CONVERGED_FEASIBLE,0.987827971461,25,1,1,222,8310e1388c5a7c817ce626c9d77a0b4ec4c3cdf29be550e4fcb46f0c330f8d32
31,2010-11-26 18:00:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,140.78125,181.25,CONVERGED_FEASIBLE,0.983272807573,33,1,1,225,dd71c7576f1f0e84b282f7517df46b3128a5721261223a48318ef4039ac45157
32,2011-11-14 19:30:00,CENTER_TIER_1_AXIS_MIDPOINT,FOUR_FINITE_VALID_AXES,0,688.515625,943.984375,CONVERGED_FEASIBLE,0.98743088475,25,1,1,225,e0408fca5884ca6efdf1c1776ce0eeeedec1dfa4ef538d3c9695ef425d6ad503
