selection_index,timestamp,root_voltage_pu,minimum_voltage_pu,minimum_voltage_bus,maximum_voltage_pu,maximum_voltage_bus,operational_solver_status,solution_source,primal_available,numerical_validation_passed,s0_operational_voltage_feasible_095_105,production_voltage_feasible_090_105,absolute_pcc_origin_p13_kw,absolute_pcc_origin_p30_kw,s0_source_sha256,s0_row_sha256
16,2011-03-04 18:00:00,1,0.974442115290982,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,ded30f2c8759a2b92f1016439b8ab027a7862e9692825c2e73c51b397362cf56
17,2011-05-11 18:00:00,1,0.949355165198981,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,3094e4e83f81e1d1b801365c5d6110ee22298e605c1e6655cfb98e1dc4da83fe
18,2012-08-04 03:30:00,1,0.987737456977068,18,1,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,2330d88f6df84e6d9abaa4e67cc4733f50aea514122ba0052fe39b8685994ee5
19,2010-07-03 00:00:00,1,0.978388375359643,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,318d2d8eefa538816396de40150d2166b19e79e11e6203e24b8aea4763ea483a
20,2012-08-31 11:30:00,1,0.985721017599078,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,16191853dc47d3051be57dd1e481da17f515330343dec6c7772448f1fc48680a
21,2010-07-01 07:30:00,1,0.959149073021186,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,4c08e5dc1ab8c404bf3758fbc8f6c2e420069a55e046bc0e1bb1a213108bc2e8
22,2012-08-24 12:00:00,1,0.984937324119057,18,1,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,1874a95b974a981bdd6c2b5390ad950c655d418ee60c4f1e39a6725515e828b1
23,2010-07-02 17:30:00,1,0.937337809154853,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,9e45c1e48e284be6517a7a39b1f7fa173be4d9ee6d7df76a80ef16e3558c4804
24,2012-08-05 23:30:00,1,0.982536455262243,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,35a98a284b22e1bfad96701afae8627e074f45c2f2b5f6b4c754de241e23a0ed
25,2010-07-02 18:00:00,1,0.940567919428076,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,97def85ee150675131fa62a3109cb8d6533cb4f6e75a9f2ef4f4b3e44db3d4b9
26,2011-09-30 05:30:00,1,0.986295486967429,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,118c91e549f32a04f47918342df09dc877809a6fc0e8f27ada36d96d358b1ac2
27,2011-09-11 00:00:00,1,0.98232546167779,18,0.999999999999999,1,ALMOST_OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,20b0b1c6e06cad87d7c92d272dcf4df95ca8e61387acf44d2910e22d5bc15f63
28,2011-09-30 11:30:00,1,0.983007129645318,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,2408141a760ae7d6ccc180f95fa6bcfbccd737d58638a3a8a55abd821328e435
29,2012-09-03 07:00:00,1,0.970714102634688,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,e08ad63f80319c4f95d48d64e89c5be4c8eb28e1cc1c36215126d2fc62122f22
30,2011-11-14 17:30:00,1,0.949787341841846,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,8310e1388c5a7c817ce626c9d77a0b4ec4c3cdf29be550e4fcb46f0c330f8d32
31,2010-11-26 18:00:00,1,0.974436665172866,18,1,1,OPTIMAL,operational_model,true,true,true,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,dd71c7576f1f0e84b282f7517df46b3128a5721261223a48318ef4039ac45157
32,2011-11-14 19:30:00,1,0.947412757938612,18,1,1,INFEASIBLE,diagnostic_voltage_relaxation,true,true,false,true,0,0,00cbba9bce0e08d251f5424ebf9c22a3511ade87639a2a5436e5fd7820440b2c,e0408fca5884ca6efdf1c1776ce0eeeedec1dfa4ef538d3c9695ef425d6ad503
