timestamp,coordinate_semantics,units,center_p13_abs_kw,center_p30_abs_kw,s13_positive_kw,s13_negative_kw,s30_positive_kw,s30_negative_kw,alpha_outward_exclusion_sup,alpha_squared_geometric_area_retention,alpha1_guard_capped_candidate_area_kw2,area_at_sup_by_exact_scaling_kw2,verification_alpha_values,maximum_absolute_alpha_squared_identity_error_kw2,maximum_relative_alpha_squared_identity_error,identity,interpretation
2011-05-16 07:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,302.109375,405.859375,1591.953125,1591.953125,2287.890625,2287.890625,0.913734936899013,0.834911534909843,17594689.3381449,14690009.0815724,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,1.26796732315674e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-09-11 00:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-21.25,-44.609375,1585.3125,1585.3125,2273.046875,2273.046875,0.896999457874606,0.804608027427338,17855436.6950282,14366627.6980403,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.08636190875086e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-09-30 05:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-103.28125,-158.75,1583.59375,1583.59375,2269.375,2269.375,0.910100176128113,0.828282330588422,17591084.2478851,14570384.2584155,0.25;0.5;0.75;alpha_outward_exclusion_sup,9.31322574615479e-10,2.11771500037572e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-09-30 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-35.3125,-64.0625,1585,1585,2272.5,2272.5,0.896168437947021,0.803117869172404,17867138.582222,14349418.2663622,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,1.29806317904703e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-11-14 17:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,640.859375,877.65625,1598.828125,1598.828125,2303.28125,2303.28125,0.884189384415932,0.781790867513824,17953022.7481566,14035509.2287767,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.075021209921e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-11-14 19:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,688.515625,943.984375,1599.765625,1599.765625,2305.390625,2305.390625,0.887926923731903,0.788414221888001,17893725.8757953,14107667.9630423,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2011-12-15 05:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-124.375,-188.125,1583.125,1583.125,2268.4375,2268.4375,0.910717547646523,0.829406451591297,17605123.4083452,14601802.9359425,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.11602623398598e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2012-08-04 03:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-133.046875,-200.15625,1583.046875,1583.046875,2267.96875,2267.96875,0.911038221284751,0.829990640641683,17609865.0153836,14616023.1457318,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2012-08-05 23:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-25.703125,-50.625,1585.234375,1585.234375,2272.8125,2272.8125,0.896667841194858,0.804013217433048,17859480.2913955,14359258.210767,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,1.85412402833679e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2012-08-24 12:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-75.15625,-119.6875,1584.21875,1584.21875,2270.625,2270.625,0.894104695407602,0.79942320634992,17902538.1103767,14311704.417999,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,1.30148380292736e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2012-08-31 11:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-91.40625,-142.109375,1583.90625,1583.90625,2269.921875,2269.921875,0.8931173480272,0.797658597347138,17919126.5051729,14293345.3138022,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.07894636905794e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2012-09-03 07:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,216.953125,287.265625,1590.234375,1590.234375,2283.984375,2283.984375,0.909509076577866,0.827206760377523,17657816.6239415,14606665.284831,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.10971173718666e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2012-10-15 13:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-124.140625,-187.8125,1583.203125,1583.203125,2268.4375,2268.4375,0.910749034606787,0.829463804037195,17604851.7092395,14602587.2682565,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2013-04-07 02:00:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,63.28125,73.359375,1587.03125,1587.03125,2276.953125,2276.953125,0.901525234076254,0.812747747676244,17781145.3586944,14451585.8413828,0.25;0.5;0.75;alpha_outward_exclusion_sup,1.86264514923096e-09,2.09507892956983e-16,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
2013-04-17 05:30:00,ABSOLUTE_PHYSICAL_P_PCC_HOMOTHETY_ABOUT_CERTIFIED_PRODUCTION_CENTER,kW center coordinates; kW^2 area; dimensionless alpha and retention,-171.875,-254.296875,1582.1875,1582.1875,2266.171875,2266.171875,0.912196032794906,0.832101602246765,17637564.3892224,14676245.5880024,0.25;0.5;0.75;alpha_outward_exclusion_sup,0,0,AREA(c+alpha(K-c))=alpha^2*AREA(K),GEOMETRIC_CONSEQUENCE_NOT_ACCEPTED_FINAL_AREA_RETENTION_FACTOR
