timestamp,representation,convex_cells,outer_region_facets,number_of_pocket_components,pocket_facet_counts,total_pocket_facets,number_of_disjunction_groups,conceptual_alternatives,total_geometric_inequalities,representation_status,complexity_semantics
2010-07-02 17:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,5;5,10,2,25,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 17:30:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,8;8,16,2,64,45,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 18:00:00,A_FULL_EXACT_CONVEX_PARTITION,25,0,0,,0,1,25,102,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-07-02 18:00:00,B_EXACT_HULL_MINUS_POCKETS,1,29,2,13;15,28,2,195,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-07-02 18:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,3;3,6,2,9,35,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 18:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,4;4,8,2,16,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 18:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,5;5,10,2,25,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-02 18:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,8;8,16,2,64,45,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-03 00:00:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,98,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-07-03 00:00:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-07-03 00:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-03 00:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-03 00:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-07-03 00:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,8;8,16,2,64,47,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-11-26 18:00:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,99,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-11-26 18:00:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-11-26 18:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-11-26 18:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-11-26 18:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-11-26 18:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,8;8,16,2,64,47,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 11:30:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,98,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-12-21 11:30:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-12-21 11:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 11:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 11:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 11:30:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,8;8,16,2,64,47,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 12:00:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,99,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2010-12-21 12:00:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2010-12-21 12:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 12:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 12:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2010-12-21 12:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,8;8,16,2,64,47,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-01-21 18:00:00,A_FULL_EXACT_CONVEX_PARTITION,22,0,0,,0,1,22,97,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-01-21 18:00:00,B_EXACT_HULL_MINUS_POCKETS,1,30,3,NONCONVEX;3;13,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-01-21 18:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,30,3,NONCONVEX;3;3,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-01-21 18:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,30,3,NONCONVEX;3;4,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-01-21 18:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,30,3,NONCONVEX;3;5,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-01-21 18:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,30,3,NONCONVEX;3;8,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 11:30:00,A_FULL_EXACT_CONVEX_PARTITION,24,0,0,,0,1,24,100,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-02-05 11:30:00,B_EXACT_HULL_MINUS_POCKETS,1,29,2,NONCONVEX;15,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-02-05 11:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;3,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 11:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;4,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 11:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;5,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 11:30:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,NONCONVEX;8,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 17:30:00,A_FULL_EXACT_CONVEX_PARTITION,28,0,0,,0,1,28,109,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-02-05 17:30:00,B_EXACT_HULL_MINUS_POCKETS,1,26,2,NONCONVEX;17,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-02-05 17:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,26,2,NONCONVEX;3,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 17:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,26,2,NONCONVEX;4,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 17:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,26,2,NONCONVEX;5,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 17:30:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,26,2,NONCONVEX;8,,,,,UNAVAILABLE_NONCONVEX_POCKET_COMPONENT,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 18:00:00,A_FULL_EXACT_CONVEX_PARTITION,28,0,0,,0,1,28,109,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-02-05 18:00:00,B_EXACT_HULL_MINUS_POCKETS,1,27,2,14;17,31,2,238,58,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-02-05 18:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,27,2,3;3,6,2,9,33,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 18:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,27,2,4;4,8,2,16,35,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 18:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,27,2,5;5,10,2,25,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-05 18:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,27,2,8;8,16,2,64,43,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-06 00:00:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,97,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-02-06 00:00:00,B_EXACT_HULL_MINUS_POCKETS,1,29,2,13;13,26,2,169,55,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-02-06 00:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,3;3,6,2,9,35,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-06 00:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,4;4,8,2,16,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-06 00:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,5;5,10,2,25,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-02-06 00:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,29,2,8;8,16,2,64,45,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-04 18:00:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,98,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-03-04 18:00:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-03-04 18:00:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-04 18:00:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-04 18:00:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-04 18:00:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,8;8,16,2,64,47,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 11:30:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,99,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-03-08 11:30:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-03-08 11:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 11:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 11:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 11:30:00,F_K8_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,8;8,16,2,64,47,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 12:30:00,A_FULL_EXACT_CONVEX_PARTITION,23,0,0,,0,1,23,98,AVAILABLE,GEOMETRIC_COMPLEXITY;UNION_OF_EXACT_CONVEX_CELLS;NO_BINARY_COUNT_CLAIM
2011-03-08 12:30:00,B_EXACT_HULL_MINUS_POCKETS,1,31,2,13;13,26,2,169,57,AVAILABLE,GEOMETRIC_COMPLEXITY;OUTER_HULL_PLUS_EXCLUDED_COMPONENT_DISJUNCTION_GROUPS;FULL_DNF_ALTERNATIVE_PRODUCT;NO_BINARY_COUNT_CLAIM
2011-03-08 12:30:00,C_K3_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,3;3,6,2,9,37,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 12:30:00,D_K4_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,4;4,8,2,16,39,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
2011-03-08 12:30:00,E_K5_VMAX_POCKET_OUTER_APPROXIMATION,1,31,2,5;5,10,2,25,41,AVAILABLE,GEOMETRIC_COMPLEXITY;VMAX_SUPPORT_OUTER_APPROXIMATION;NON_VMAX_POCKETS_EXACT;NO_BINARY_COUNT_CLAIM
